date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:43:41	373718/373718	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2001%20May%202018%2018:43:42%20GMT	https://zh-tw.facebook.com/qZW+	D:/WEB/FB/zh-tw.facebook.com/qZW+	(from https://zh-tw.facebook.com/)
02:43:42	0/-1	---M--	302	error ('')			https://zh-tw.facebook.com/find-friends?ref=pf	D:/WEB/FB/zh-tw.facebook.com/find-friends.1730c2.delayed	(from https://zh-tw.facebook.com/?_fb_noscript=1)
02:43:42	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2001%20May%202018%2018:43:42%20GMT	https://zh-tw.facebook.com/ad_campaign/landing.php?placement=pflo&campaign_id=402047449186&extra_1=auto	D:/WEB/FB/zh-tw.facebook.com/ad_campaign/landing85ec.php	(from https://zh-tw.facebook.com/?_fb_noscript=1)
02:43:42	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2001%20May%202018%2018:43:43%20GMT	https://zh-tw.facebook.com/settings	D:/WEB/FB/zh-tw.facebook.com/settings	(from https://zh-tw.facebook.com/?_fb_noscript=1)
02:43:43	5769/5769	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/unHwF9CkMyM.png	D:/WEB/FB/static.xx.fbcdn.net/rsrc.php/v3/yL/r/unHwF9CkMyM.png	(from https://static.xx.fbcdn.net/rsrc.php/v3/yr/l/1,cross/kU8kR35H3qQ.css)
02:43:43	4272/4272	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yf/r/Itjx0RnmUb3.png	D:/WEB/FB/static.xx.fbcdn.net/rsrc.php/v3/yf/r/Itjx0RnmUb3.png	(from https://static.xx.fbcdn.net/rsrc.php/v3/yr/l/1,cross/kU8kR35H3qQ.css)
02:43:43	9424/9424	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yT/r/yC2suuoYnao.png	D:/WEB/FB/static.xx.fbcdn.net/rsrc.php/v3/yT/r/yC2suuoYnao.png	(from https://static.xx.fbcdn.net/rsrc.php/v3/yr/l/1,cross/kU8kR35H3qQ.css)
02:43:43	4665/4665	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yY/r/hcIfHWLPkRB.png	D:/WEB/FB/static.xx.fbcdn.net/rsrc.php/v3/yY/r/hcIfHWLPkRB.png	(from https://static.xx.fbcdn.net/rsrc.php/v3/yr/l/1,cross/kU8kR35H3qQ.css)
02:43:43	4396/4396	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yT/r/NSC0OI8ecJf.png	D:/WEB/FB/static.xx.fbcdn.net/rsrc.php/v3/yT/r/NSC0OI8ecJf.png	(from https://static.xx.fbcdn.net/rsrc.php/v3/yr/l/1,cross/kU8kR35H3qQ.css)
02:43:44	153/153	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yo/r/Iv23J4ZCwP5.png	D:/WEB/FB/static.xx.fbcdn.net/rsrc.php/v3/yo/r/Iv23J4ZCwP5.png	(from https://static.xx.fbcdn.net/rsrc.php/v3/yr/l/1,cross/kU8kR35H3qQ.css)
02:43:44	1315/1315	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yN/r/WgFKRx0VFOG.png	D:/WEB/FB/static.xx.fbcdn.net/rsrc.php/v3/yN/r/WgFKRx0VFOG.png	(from https://static.xx.fbcdn.net/rsrc.php/v3/yr/l/1,cross/kU8kR35H3qQ.css)
02:43:44	3096/3096	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yS/r/eMDu93Zp2Rg.png	D:/WEB/FB/static.xx.fbcdn.net/rsrc.php/v3/yS/r/eMDu93Zp2Rg.png	(from https://static.xx.fbcdn.net/rsrc.php/v3/yr/l/1,cross/kU8kR35H3qQ.css)
02:43:44	95/95	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/O7nelmd9XSI.png	D:/WEB/FB/static.xx.fbcdn.net/rsrc.php/v3/yU/r/O7nelmd9XSI.png	(from https://static.xx.fbcdn.net/rsrc.php/v3/yr/l/1,cross/kU8kR35H3qQ.css)
02:43:46	350/350	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/y7/r/jZPS9cxhnaa.png	D:/WEB/FB/static.xx.fbcdn.net/rsrc.php/v3/y7/r/jZPS9cxhnaa.png	(from https://static.xx.fbcdn.net/rsrc.php/v3/yr/l/1,cross/kU8kR35H3qQ.css)
02:43:46	696/696	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/y8/r/G4pVE8lTU5a.png	D:/WEB/FB/static.xx.fbcdn.net/rsrc.php/v3/y8/r/G4pVE8lTU5a.png	(from https://static.xx.fbcdn.net/rsrc.php/v3/yr/l/1,cross/kU8kR35H3qQ.css)
02:43:46	548/548	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yH/r/yNvz5xtKREW.png	D:/WEB/FB/static.xx.fbcdn.net/rsrc.php/v3/yH/r/yNvz5xtKREW.png	(from https://static.xx.fbcdn.net/rsrc.php/v3/yr/l/1,cross/kU8kR35H3qQ.css)
02:43:46	548/548	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yy/r/C_ajUOoDyiv.png	D:/WEB/FB/static.xx.fbcdn.net/rsrc.php/v3/yy/r/C_ajUOoDyiv.png	(from https://static.xx.fbcdn.net/rsrc.php/v3/yr/l/1,cross/kU8kR35H3qQ.css)
02:43:46	517/517	---M--	200	added ('OK')	image/gif	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/y-/r/AGUNXgX_Wx3.gif	D:/WEB/FB/static.xx.fbcdn.net/rsrc.php/v3/y-/r/AGUNXgX_Wx3.gif	(from https://static.xx.fbcdn.net/rsrc.php/v3/yr/l/1,cross/kU8kR35H3qQ.css)
02:43:46	1894/1894	---M--	200	added ('OK')	image/gif	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yG/r/b53Ajb4ihCP.gif	D:/WEB/FB/static.xx.fbcdn.net/rsrc.php/v3/yG/r/b53Ajb4ihCP.gif	(from https://static.xx.fbcdn.net/rsrc.php/v3/yr/l/1,cross/kU8kR35H3qQ.css)
